RESULT! cold1_10 
mean: 90
sd: 18
median: 89
noseLength: 10
meanForMyArea: 112
RESULT! cold1_11 
mean: 117
sd: 2
median: 116
noseLength: 12
meanForMyArea: 112
RESULT! cold1_12 
mean: 93
sd: 14
median: 91
noseLength: 9
meanForMyArea: 112
RESULT! cold1_13 
mean: 96
sd: 11
median: 98
noseLength: 10
meanForMyArea: 112
RESULT! cold1_14 
mean: 86
sd: 14
median: 85
noseLength: 9
meanForMyArea: 110
