1
325
69
397
141
(327, 89)
(328, 97)
(330, 106)
(332, 113)
(336, 120)
(341, 127)
(349, 131)
(357, 134)
(365, 135)
(372, 133)
(379, 129)
(385, 124)
(390, 118)
(392, 111)
(394, 103)
(395, 95)
(395, 87)
(333, 81)
(338, 76)
(345, 75)
(352, 75)
(358, 77)
(368, 76)
(373, 74)
(379, 72)
(385, 73)
(389, 77)
(363, 84)
(363, 90)
(364, 97)
(364, 103)
(357, 107)
(360, 108)
(364, 109)
(367, 108)
(370, 107)
(341, 85)
(345, 83)
(350, 83)
(354, 86)
(350, 87)
(345, 87)
(371, 85)
(375, 81)
(379, 81)
(383, 83)
(380, 85)
(375, 85)
(352, 118)
(357, 116)
(361, 115)
(364, 116)
(366, 115)
(370, 115)
(374, 116)
(370, 118)
(367, 119)
(364, 120)
(361, 120)
(357, 120)
(354, 118)
(361, 118)
(364, 118)
(367, 117)
(372, 116)
(367, 116)
(364, 116)
(361, 116)
